Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11, Field12, VDC, IDC, DCR, Tolerance
"D3","LED_WIFI","LEDs:LED_0603_HandSoldering",""
"R1","460","Resistors_SMD:R_0805_HandSoldering",""
"R6","1k","Resistors_SMD:R_0805_HandSoldering",""
"Q1","Q_PNP_CBE","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"J2","C_STRIKE","Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm",""
"SW1","SW_RESET","button_smd_2_pin:button_smd_2_pin",""
"R4","1k","Resistors_SMD:R_0805_HandSoldering",""
"J1","C_DOOR","jst:CONNECTOR_JST_SH_2",""
"K1","RTE24005F","esp-control:RTE24005F","TE Connectivity","None","https://www.digikey.com/product-detail/en/te-connectivity-potter-brumfield-relays/RTE24005F/PB295-ND/254512?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","PB295-ND","http://www.te.com/usa-en/product-4-1419108-0.html","RTE24005F","400 VAC","RTE24005F","RTE24005F _4-1419108-0_","8 A","","","",""
"C1","10uF","Capacitors_SMD:C_1210_HandSoldering","","","","","","","","","","","25v","","",""
"C2","0.1uF","Capacitors_SMD:C_1206_HandSoldering","","","","","","","","","","","25v","","",""
"C3","47uF","Capacitors_SMD:C_1210_HandSoldering","","","","","","","","","","","25v","","",""
"L1","4.7uH","Inductors_SMD:L_Wuerth_HCI-5040","","","","","","","","","","","","4.4A","0.025 Ohm",""
"R2","54.9k","Resistors_SMD:R_0805_HandSoldering","","","","","","","","","","","","","","1%"
"R3","10k","Resistors_SMD:R_0805_HandSoldering","","","","","","","","","","","","","","1%"
"U1","TPS561208","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering",""
"J4","C_PWR","jst:CONNECTOR_JST_SH_2",""
"J3","Conn_01x05","jst:CONNECTOR_JST_SH_5",""
"U2","LoLinESP8266","esp-control:LOLIN_NODEMCU",""
"J5","Barrel_Jack","Connectors:BARREL_JACK",""
