Reference, Value, Footprint, Datasheet
"R3","20k","Resistors_SMD:R_0805_HandSoldering",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering",""
"R6","1k","Resistors_SMD:R_0805_HandSoldering",""
"R7","1k","Resistors_SMD:R_0805_HandSoldering",""
"D3","LED_B","LEDs:LED_0603_HandSoldering",""
"D4","LED_Y","LEDs:LED_0603_HandSoldering",""
"BZ1","Buzzer","Buzzers_Beepers:Buzzer_12x9.5RM7.6",""
"R2","1k","Resistors_SMD:R_0805_HandSoldering",""
"R5","1k","Resistors_SMD:R_0805_HandSoldering",""
"D2","LED_R","LEDs:LED_0603_HandSoldering",""
"R4","1k","Resistors_SMD:R_0805_HandSoldering",""
"D1","LED_G","LEDs:LED_0603_HandSoldering",""
"U1","RFID_MODULE_125_KHZ","rfid_125_module:RFID_MODULE_125_KHZ",""
"D5","LED_R","LEDs:LED_0603_HandSoldering",""
"J1","Conn_01x02","jst:CONNECTOR_JST_SH_2",""
"J2","Conn_01x05","jst:CONNECTOR_JST_SH_5",""
"C1","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
