"Source:","D:/Projects/rfidLock/esp8266/reader/esp8266RFIDReader.sch"
"Date:","7/2/2018 10:00:24 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","D:/Programs/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BZ1, ","1","Buzzer","Buzzer","Buzzers_Beepers:Buzzer_12x9.5RM7.6","Buzzer, polar",""
"C1, ","1","0.1uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor",""
"D1, ","1","LED_G","LED","LEDs:LED_0603_HandSoldering","LED generic",""
"D2, D5, ","2","LED_R","LED","LEDs:LED_0603_HandSoldering","LED generic",""
"D3, ","1","LED_B","LED","LEDs:LED_0603_HandSoldering","LED generic",""
"D4, ","1","LED_Y","LED","LEDs:LED_0603_HandSoldering","LED generic",""
"J1, ","1","Conn_01x02","Conn_01x02","jst:CONNECTOR_JST_SH_2","Generic connector, single row, 01x02",""
"J2, ","1","Conn_01x05","Conn_01x05","jst:CONNECTOR_JST_SH_5","Generic connector, single row, 01x05",""
"R1, ","1","10k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R3, ","1","20k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R6, R7, R2, R5, R4, ","5","1k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"U1, ","1","RFID_MODULE_125_KHZ","RFID_MODULE_125_KHZ","rfid_125_module:RFID_MODULE_125_KHZ","",""
